commercial_id,title,nice_class,description,year,lustrum,duration_in_seconds,source,has_been_transcribed,palette_extracted
8c59d89809cf48a4b95eef442850357e_030,Atkinsons Bizarre Make Up,3,"Gli anni ’80 sono ricordati come anni per antonomasia dell’uso (spesso smodato) di trucchi di vario tipo. Bizarre era uno dei nomi di punta del settore e ne abbiamo trovato uno spot risalente all’estate 1982, accompagnato da una allegra canzoncina latineggiante e caratterizzato da un montaggio molto veloce. Il tutto a dare la giusta atmosfera ‘giovane’ adatta a reclamizzare il prodotto.",1982,1980_1984,31.0,Spot 80,True,True
128c722d9ed04ba09e3287d35a537dbd_030,Colgate Fluor Mfp Dentifricio,3,Una maestra d’elementari ante litteram insegna l’importanza dell’igiene orale ai suoi piccoli alunni consigliando loro di lavarsi i denti con il dentifricio Colgate Fluor MFP.,1982,1980_1984,31.0,Spot 80,True,True
1f26c930b2ce43bc9b174e548439bcf5_030,L’Oreal Elseve Frequens Shampoo Cosmetico,3,"Una sfilata di moda con quattro modelle dai capelli fluenti; ognuna di loro rappresenta uno dei quattro shampoo della “Collezione Elsève” de L’Oréal (pronunciato “L’òreal”, tra l’altro). In questo soggetto viene reclamizzato Elseve Frequens, lo shampoo specifico per il lavaggi frequenti.",1982,1980_1984,30.0,Spot 80,True,True
18319324492145fbbe8de480fb3cef30_045,Oleg Cassini Reporter Profumo,3,"Dal nome del celebre “sarto delle dive di Hollywood”, Oleg Cassini, ecco un semplice spot per il profumo Reporter, un classico degli anni 80.",1982,1980_1984,33.0,Spot 80,True,True
b7dd7f8b83d3418bbfc3e0a5ed2264f0_030,Durex Super Sensitol Profilattici,10,"Che tatto, che raffinatezza una volta nel pubblicizzare profilattici… Questo è forse uno dei primi spot Durex in Italia, quando l’azienda britannica non si era ancora imparentata con l’italiana Hatu. Il prodotto reclamizzato era il Super Sensitol, ultrasottile.",1982,1980_1984,30.0,Spot 80,True,True
2b8f24214c66460d8c3403162b8b4014_030,Galbani Bel Paese Formaggio,29,"Il Bel Paese fu uno dei primi formaggi prodotti dalla Galbani, risalente al lontano 1906, e segnò il primo grande successo dell’azienda. Chiamato così in onore dell’omonimo libro dell’abate Antonio Stoppani, il formaggio Bel Paese Galbani divenne presto famoso in tutto il mondo. L’inizio di questo spot d’annata testimonia come, a quasi ottant’anni dalla sua creazione, il Bel Paese Galbani abbia ancora fama all’estero.",1982,1980_1984,31.0,Spot 80,True,True
115f7ab89454443bb68f503dd5c15f07_030,Buitoni Nipiol Omogeneizzati,5,"In questo tenero e pacato spot del 1982 trasmesso su RTI La Uomo TV (divenuto capofila di Retequattro proprio nel 1982, e infatti appare il logo del canale in sovrimpressione) viene esaltata l’assoluta certezza con cui la Buitoni, da 150 anni, si assicura la genuinità della carne dei suoi allevamenti per la produzione degli omogeneizzati Nipiol.",1982,1980_1984,31.0,Spot 80,True,True
54f8b17d8a734fa78a2f1e74c0cf7c59_045,Conad Supermercati 20° Anniversario,35,"Nel 1982, per festeggiare il 20° anniversario dei supermercati Conad, questo simpatico spot d’antan mostrava una simpatica “sfilata”, con tanto di passerella, dei prodotti messi in vendita per l’occasione.",1982,1980_1984,34.0,Spot 80,True,True
5a4852af36054db18cd7c57227cdf9ff_030,Plasmon Plasmon Biscotti,5,"La leggenda del ciclismo italiano Gino Bartali interpreta qui un nonno dall’accento toscano che racconta alla nipotina del suo mago preferito e di come faceva scomparire gli oggetti, ma è solo un pretesto per spiluccarle qualche biscotto Plasmon!",1982,1980_1984,32.0,Spot 80,True,True
85464815e8634023aa3479307bab7ddb_045,Procter & Gamble Ariel A Mano Detersivo,3,"Due amiche che indossano camicette uguali si incontrano al parco. Quando una delle amiche si lamenta dello scolorimento della sua camicetta lavata in acqua calda, l’altra mostra le qualità del detersivo Ariel a mano sulla sua camicetta colorata dopo essersela sporcata accidentalmente. Il risultato? Ariel consente il lavaggio in acqua fredda senza danneggiare i colori.",1982,1980_1984,34.0,Spot 80,True,True
